                [STATISTICS]
        most to least similar:
0 danish_norwegian : 0.816803
1 asturian_spanish : 0.805705
2 irish_gaelic : 0.790897
3 spanish_galician : 0.788984
4 afrikaans_dutch : 0.788882
5 bulgarian_macedonian : 0.781614
6 asturian_galician : 0.774265
7 catalan_occitan : 0.773263
8 galician_italian : 0.756547
9 french_italian : 0.737899
10 catalan_spanish : 0.730930
11 catalan_galician : 0.727011
12 spanish_occitan : 0.725988
13 lithuanian_latvian : 0.720253
14 spanish_italian : 0.719174
15 czech_polish : 0.718017
16 asturian_catalan : 0.717238
17 german_dutch : 0.715965
18 catalan_french : 0.715813
19 estonian_finnish : 0.714081
20 galician_occitan : 0.714061
21 dutch_norwegian : 0.713130
22 asturian_occitan : 0.710390
23 french_occitan : 0.709032
24 galician_hungarian : 0.699898
25 german_norwegian : 0.698615
26 hungarian_italian : 0.698597
27 hindi_marathi : 0.698126
28 danish_dutch : 0.697984
29 czech_croatian : 0.697881
30 bulgarian_italian : 0.697580
31 english_dutch : 0.694964
32 welsh_italian : 0.693319
33 bulgarian_polish : 0.693021
34 gujarati_hindi : 0.692507
35 french_dutch : 0.692059
36 italian_macedonian : 0.691878
37 bulgarian_czech : 0.690573
38 gujarati_marathi : 0.689544
39 asturian_italian : 0.687583
40 italian_dutch : 0.687109
41 danish_german : 0.687053
42 frisian_dutch : 0.686383
43 macedonian_polish : 0.686192
44 asturian_macedonian : 0.686052
45 english_norwegian : 0.685234
46 italian_polish : 0.684386
47 spanish_macedonian : 0.683841
48 afrikaans_galician : 0.683397
49 english_french : 0.683357
50 galician_macedonian : 0.682553
51 spanish_french : 0.681552
52 finnish_italian : 0.681086
53 catalan_welsh : 0.680495
54 irish_italian : 0.679327
55 bashkir_estonian : 0.678279
56 welsh_french : 0.678182
57 croatian_macedonian : 0.677776
58 croatian_polish : 0.676817
59 estonian_malagasy : 0.676082
60 czech_macedonian : 0.675894
61 malagasy_norwegian : 0.675393
62 iloko_italian : 0.674830
63 galician_dutch : 0.674585
64 hungarian_macedonian : 0.674375
65 welsh_dutch : 0.674247
66 french_galician : 0.673806
67 bulgarian_croatian : 0.673623
